PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked_Q,Embarked_S
1,0,3,"Braund, Mr. Owen Harris",0,0.2711736617240513,1,0,A/5 21171,0.11153846153846154,False,True
3,1,3,"Heikkinen, Miss. Laina",1,0.32143754712239253,0,0,STON/O2. 3101282,0.12192307692307693,False,True
4,1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",1,0.43453128926866047,1,0,113803,0.816923076923077,False,True
5,0,3,"Allen, Mr. William Henry",0,0.43453128926866047,0,0,373450,0.12384615384615386,False,True
6,0,3,"Moran, Mr. James",0,0.3465694898215632,0,0,330877,0.1301276923076923,True,False
7,0,1,"McCarthy, Mr. Timothy J",0,0.6732847449107816,0,0,17463,0.7978846153846153,False,True
8,0,3,"Palsson, Master. Gosta Leonard",0,0.01985423473234481,3,1,349909,0.3242307692307692,False,True
9,1,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",1,0.33400351847197784,0,2,347742,0.17128153846153846,False,True
10,1,2,"Nasser, Mrs. Nicholas (Adele Achem)",1,0.17064589092736868,1,0,237736,0.4626276923076923,False,False
11,1,3,"Sandstrom, Miss. Marguerite Rut",1,0.04498617743151546,1,1,PP 9549,0.2569230769230769,False,True
12,1,1,"Bonnell, Miss. Elizabeth",1,0.7235486303091229,0,0,113783,0.4084615384615385,False,True
13,0,3,"Saundercock, Mr. William Henry",0,0.24604171902488062,0,0,A/5. 2151,0.12384615384615386,False,True
14,0,3,"Andersson, Mr. Anders Johan",0,0.4847951746670017,1,5,347082,0.48115384615384615,False,True
15,0,3,"Vestrom, Miss. Hulda Amanda Adolfina",1,0.17064589092736868,0,0,350406,0.12083384615384615,False,True
16,1,2,"Hewlett, Mrs. (Mary D Kingcome) ",1,0.6858507162603669,0,0,248706,0.24615384615384617,False,True
17,0,3,"Rice, Master. Eugene",0,0.01985423473234481,4,1,382652,0.4480769230769231,True,False
18,1,2,"Williams, Mr. Charles Eugene",0,0.3465694898215632,0,0,244373,0.2,False,True
19,0,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",1,0.38426740387031916,1,0,345763,0.27692307692307694,False,True
20,1,3,"Masselmani, Mrs. Fatima",1,0.3465694898215632,0,0,2649,0.11115384615384614,False,False
21,0,2,"Fynney, Mr. Joseph J",0,0.43453128926866047,0,0,239865,0.4,False,True
22,1,2,"Beesley, Mr. Lawrence",0,0.42196531791907516,0,0,248698,0.2,False,True
23,1,3,"McGowan, Miss. Anna ""Annie""",1,0.18321186227695402,0,0,330923,0.12352615384615384,True,False
24,1,1,"Sloper, Mr. William Thompson",0,0.3465694898215632,0,0,113788,0.5461538461538461,False,True
25,0,3,"Palsson, Miss. Torborg Danira",1,0.09525006282985675,3,1,349909,0.3242307692307692,False,True
26,1,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",1,0.4722292033174164,1,5,347077,0.48288461538461536,False,True
27,0,3,"Emir, Mr. Farred Chehab",0,0.3465694898215632,0,0,2631,0.11115384615384614,False,False
29,1,3,"O'Dwyer, Miss. Ellen ""Nellie""",1,0.3465694898215632,0,0,330959,0.12121846153846154,True,False
30,0,3,"Todoroff, Mr. Lalio",0,0.3465694898215632,0,0,349216,0.12147384615384615,False,True
31,0,1,"Uruchurtu, Don. Manuel E",0,0.4973611460165871,0,0,PC 17601,0.42647384615384615,False,False
33,1,3,"Glynn, Miss. Mary Agatha",1,0.3465694898215632,0,0,335677,0.11923076923076924,True,False
34,0,2,"Wheadon, Mr. Edward H",0,0.8240764011058055,0,0,C.A. 24579,0.16153846153846155,False,True
36,0,1,"Holverson, Mr. Alexander Oskar",0,0.5224930887157577,1,0,113789,0.8,False,True
37,1,3,"Mamee, Mr. Hanna",0,0.3465694898215632,0,0,2677,0.11121846153846153,False,False
38,0,3,"Cann, Mr. Ernest Charles",0,0.2586076903744659,0,0,A./5. 2152,0.12384615384615386,False,True
39,0,3,"Vander Planke, Miss. Augusta Maria",1,0.22090977632570996,2,0,345764,0.27692307692307694,False,True
40,1,3,"Nicola-Yarred, Miss. Jamila",1,0.17064589092736868,1,0,2651,0.17294923076923077,False,False
41,0,3,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",1,0.4973611460165871,1,0,7546,0.14576923076923076,False,True
